Language,Participant,Occurency_order,Item,Consistency,Cons_level,Lexicality,Accuracy,RT,logRT,Outlier
French,101,1,Fr_inc_sabot-fateau.wav,inc,NA,pseudoword,1,1485,1.057242151,0
French,101,2,Fr_inc_phare.wav,inc,NA,word,1,1100,1.013797562,0
French,101,3,Fr_con_roulade-bounade.wav,con,NA,pseudoword,1,1042,1.005955906,0
French,101,4,Fr_inc3_foret.wav,inc,3,word,1,907,0.985869096,0
French,101,5,Fr_inc_pharmacie.wav,inc,NA,word,1,1028,1.003997705,0
French,101,6,Fr_inc_cote-soche.wav,inc,2,pseudoword,1,1255,1.032881242,0
French,101,7,Fr_inc2_cible.wav,inc,2,word,1,983,0.997517839,0
French,101,8,Fr_con_baton-damon.wav,con,0,pseudoword,1,1130,1.017692814,0
French,101,9,Fr_con_retour-betoute.wav,con,NA,pseudoword,1,1115,1.015758289,0
French,101,10,Fr_inc_foret-jolet.wav,inc,3,pseudoword,1,901,0.984908264,0
French,101,11,Fr_con_preuve-vreune.wav,con,NA,pseudoword,1,1225,1.029378696,0
French,101,12,Fr_inc2_sapin.wav,inc,2,word,1,845,0.975618903,0
French,101,13,Fr_inc_quatre-sadre.wav,inc,NA,pseudoword,0,1155,1.020860661,1
French,101,14,Fr_con_don.wav,con,NA,word,0,1505,1.059178833,0
French,101,15,Fr_inc2_cote.wav,inc,2,word,1,1626,1.070373514,0
French,101,16,Fr_con_larme-parde.wav,con,0,pseudoword,1,1089,1.012342627,0
French,101,17,Fr_con_drame-brane.wav,con,0,pseudoword,1,1291,1.036975414,0
French,101,18,Fr_con0_machoire.wav,con,0,word,1,951,0.992726839,0
French,101,19,Fr_con_porte.wav,con,NA,word,1,696,0.947536413,0
French,101,20,Fr_inc_cousin.wav,inc,NA,word,1,698,0.947951808,0
French,101,21,Fr_inc2_serrure.wav,inc,2,word,1,1008,1.001153511,0
French,101,22,Fr_inc3_kilo.wav,inc,3,word,1,728,0.954043793,0
French,101,23,Fr_inc_gifle-sisle.wav,inc,3,pseudoword,1,1176,1.023469107,0
French,101,24,Fr_inc2_camera.wav,inc,2,word,1,1356,1.044086563,0
French,101,25,Fr_inc_serrure-quemure.wav,inc,2,pseudoword,1,1239,1.031023769,0
French,101,26,Fr_inc_cousin-souffin.wav,inc,NA,pseudoword,1,1221,1.028905221,0
French,101,27,Fr_inc3_sirene.wav,inc,3,word,1,1244,1.031606793,0
French,101,28,Fr_con_date-mabe.wav,con,0,pseudoword,1,1275,1.035170062,0
French,101,29,Fr_inc_quatre.wav,inc,NA,word,1,979,0.996927564,0
French,101,30,Fr_con_boule-dougne.wav,con,NA,pseudoword,1,955,0.993334457,0
French,101,31,Fr_inc_sabot.wav,inc,NA,word,1,910,0.986347131,0
French,101,32,Fr_con_madame-patame.wav,con,NA,pseudoword,1,1009,1.001297055,0
French,101,33,Fr_inc2_castor.wav,inc,2,word,1,945,0.991810603,0
French,101,34,Fr_con_boite.wav,con,NA,word,0,1044,1.0062335,0
French,101,35,Fr_inc_girafe-kirague.wav,inc,3,pseudoword,1,2513,1.133397496,1
French,101,36,Fr_con_bonbon-donmon.wav,con,NA,pseudoword,1,1321,1.040300939,0
French,101,37,Fr_inc2_cerf.wav,inc,2,word,1,857,0.977660274,0
French,101,38,Fr_con_porte-lorve.wav,con,NA,pseudoword,1,1175,1.023345956,0
French,101,39,Fr_inc_kilo-giveaux.wav,inc,3,pseudoword,1,1047,1.006648894,0
French,101,40,Fr_con_morve-porle.wav,con,0,pseudoword,1,1062,1.008708172,0
French,101,41,Fr_con_retour.wav,con,NA,word,1,994,0.999128795,0
French,101,42,Fr_con_pneu-treu.wav,con,NA,pseudoword,1,961,0.994241129,0
French,101,43,Fr_inc_cerveau-kerbeau.wav,inc,3,pseudoword,1,1789,1.084203447,0
French,101,44,Fr_con_bonbon.wav,con,NA,word,1,1560,1.064374866,0
